id,session_date,duration_min,power,ftp_valid,tss_before,tss_recomputed,diff,if_before,if_recomputed
266,2025-05-01,83,300,250,199,199,0,1.200,1.200
265,2025-05-05,95,293,250,217,217,0,1.172,1.172
264,2025-05-07,84,307,250,211,211,0,1.228,1.228
263,2025-05-08,83,298,250,197,197,0,1.192,1.192
262,2025-05-09,66,319,250,179,179,0,1.276,1.276
261,2025-05-11,136,260,250,245,245,0,1.040,1.040
259,2025-05-12,91,246,250,147,147,0,0.984,0.984
258,2025-05-14,97,259,250,174,174,0,1.036,1.036
256,2025-05-17,79,295,250,183,183,0,1.180,1.180
255,2025-05-20,86,336,250,259,259,0,1.344,1.344
254,2025-05-30,73,307,250,183,183,0,1.228,1.228
253,2025-06-01,96,340,250,296,296,0,1.360,1.360
252,2025-06-06,100,181,250,87,87,0,0.724,0.724
251,2025-06-09,110,322,250,304,304,0,1.288,1.288
250,2025-06-12,102,306,250,255,255,0,1.224,1.224
249,2025-06-16,72,345,250,229,229,0,1.380,1.380
248,2025-06-18,73,196,250,75,75,0,0.784,0.784
247,2025-06-25,91,185,250,83,83,0,0.740,0.740
246,2025-07-11,81,314,250,213,213,0,1.256,1.256
245,2025-07-27,73,313,250,191,191,0,1.252,1.252
244,2025-08-05,118,314,250,310,310,0,1.256,1.256
243,2025-08-06,156,284,250,336,336,0,1.136,1.136
242,2025-08-19,87,295,250,202,202,0,1.180,1.180
241,2025-08-20,86,306,250,215,215,0,1.224,1.224
240,2025-08-21,81,293,250,185,185,0,1.172,1.172
239,2025-08-23,81,314,250,213,213,0,1.256,1.256
238,2025-08-26,80,328,250,230,230,0,1.312,1.312
237,2025-08-29,74,323,250,206,206,0,1.292,1.292
235,2025-09-02,73,305,250,181,181,0,1.220,1.220
234,2025-09-05,75,325,250,211,211,0,1.300,1.300
232,2025-09-10,72,319,250,195,195,0,1.276,1.276
231,2025-09-14,38,352,250,126,126,0,1.408,1.408
230,2025-09-17,37,365,250,131,131,0,1.460,1.460
229,2025-09-19,77,302,250,187,187,0,1.208,1.208
228,2025-09-23,36,381,250,139,139,0,1.524,1.524
227,2025-09-25,73,190,250,70,70,0,0.760,0.760
226,2025-09-26,73,197,250,76,76,0,0.788,0.788
225,2025-09-28,35,388,250,141,141,0,1.552,1.552
223,2025-10-01,49,188,250,46,46,0,0.752,0.752
224,2025-10-01,46,184,250,42,42,0,0.736,0.736
222,2025-10-05,35,388,250,141,141,0,1.552,1.552
220,2025-10-15,78,193,250,77,77,0,0.772,0.772
221,2025-10-15,75,191,250,73,73,0,0.764,0.764
217,2025-10-20,94,189,250,90,90,0,0.756,0.756
218,2025-10-20,103,188,250,97,97,0,0.752,0.752
216,2025-10-26,39,360,250,135,135,0,1.440,1.440
215,2025-11-16,35,289,250,78,78,0,1.156,1.156
214,2025-11-20,29,338,250,88,88,0,1.352,1.352
